,año,equiponac,IJE,rank
121,2013,Uruguay,0.9259259259259259,12.94
122,2014,Uruguay,0.7941176470588236,11.0
123,2015,Uruguay,0.8666666666666667,10.92
124,2016,Uruguay,0.8387096774193549,10.33
125,2017,Uruguay,0.8333333333333334,14.4
126,2018,Uruguay,0.8857142857142857,9.62
127,2019,Uruguay,0.9333333333333333,8.91
128,1995,Peru,0.4,59.71
129,1996,Peru,0.4285714285714286,63.42
130,1997,Peru,0.4444444444444444,38.74
131,1998,Peru,0.5333333333333333,33.0
132,1999,Peru,0.5185185185185186,32.92
133,2000,Peru,0.6153846153846154,34.43
134,2001,Peru,0.4864864864864865,43.23
135,2003,Peru,0.39583333333333337,48.27
136,2004,Peru,0.2727272727272727,40.93
137,2005,Peru,0.39583333333333337,47.1
138,2006,Peru,0.29729729729729726,50.57
139,2007,Peru,0.42000000000000004,49.43
140,2008,Peru,0.5121951219512195,53.0
141,2009,Peru,0.43181818181818177,66.18
142,2010,Peru,0.5806451612903225,53.4
143,2011,Peru,0.4285714285714286,36.27
144,2012,Peru,0.35,34.5
145,2013,Peru,0.5,30.08
146,2014,Peru,0.44999999999999996,31.44
147,2015,Peru,0.4,25.43
148,2016,Peru,0.4375,20.43
149,2017,Peru,0.5833333333333333,13.8
150,2018,Peru,0.7297297297297297,13.36
151,2019,Peru,0.7777777777777778,17.36
152,1994,Chile,0.05882352941176472,26.62
153,1995,Chile,0.22857142857142854,30.0
154,1996,Chile,0.12195121951219512,31.58
155,1997,Chile,0.21276595744680848,32.29
156,1998,Chile,0.18181818181818177,23.93
157,1999,Chile,0.3529411764705882,26.5
158,2000,Chile,0.3555555555555555,34.18
159,2001,Chile,0.4696969696969697,48.0
160,2002,Chile,0.5,57.0
161,2003,Chile,0.5897435897435898,54.5
162,2004,Chile,0.5384615384615384,42.17
163,2005,Chile,0.4444444444444444,45.78
164,2006,Chile,0.34090909090909094,42.22
165,2007,Chile,0.3015873015873016,34.47
166,2008,Chile,0.45238095238095233,28.36
167,2009,Chile,0.38636363636363635,16.13
168,2010,Chile,0.4035087719298246,9.81
169,2011,Chile,0.4375,8.18
170,2012,Chile,0.38596491228070173,12.73
171,2013,Chile,0.5333333333333333,14.79
172,2014,Chile,0.5581395348837209,7.21
173,2015,Chile,0.5471698113207547,6.0
174,2016,Chile,0.6122448979591837,6.56
175,2017,Chile,0.5625,8.12
176,2018,Chile,0.5961538461538461,15.9
177,2019,Chile,0.6739130434782609,18.08
178,1995,Venezuela,0.29166666666666663,119.83
179,1996,Venezuela,0.23809523809523814,117.67
180,1997,Venezuela,0.25,120.29
181,1999,Venezuela,0.4516129032258065,109.23
182,2000,Venezuela,0.3846153846153846,102.47
183,2001,Venezuela,0.36,90.67
184,2002,Venezuela,0.3214285714285714,59.2
185,2003,Venezuela,0.4137931034482759,54.67
186,2004,Venezuela,0.3902439024390244,50.33
187,2005,Venezuela,0.5405405405405406,58.9
188,2006,Venezuela,0.34090909090909094,56.22
189,2007,Venezuela,0.20833333333333337,49.83
190,2008,Venezuela,0.29824561403508776,46.31
