,año,equiponac,jugador,club,pais_club
1828,2013,Colombia,Teófilo Gutiérrez,Cruz Azul,Mexico
1829,2013,Colombia,Carlos Bacca,FC Bruges,Belgica
1830,2013,Colombia,Radamel Falcao,Atlético,España
1831,2013,Colombia,Juan Cuadrado,Fiorentina,Italia
1832,2013,Colombia,Juan Camilo Zuñiga,Napoli,Italia
1833,2013,Colombia,Jackson Martínez,FC Porto,Portugal
1834,2014,Colombia,Faryd Mondragón,Dep. Cali,Colombia
1835,2014,Colombia,Camilo Vargas,Santa Fe,Colombia
1836,2014,Colombia,David Ospina,Niza,Francia
1837,2014,Colombia,Éder Balanta,River Plate,Argentina
1838,2014,Colombia,Luis Amaranto Perea,Cruz Azul,Mexico
1839,2014,Colombia,Mario Yepes,Atalanta,Italia
1840,2014,Colombia,Carlos Valdez,San Lorenzo,Argentina
1841,2014,Colombia,Pedro Franco,Besiktas,Turquia
1842,2014,Colombia,Cristian Zapata,AC Milán,Italia
1843,2014,Colombia,Jeison Murillo,Granada CF,España
1844,2014,Colombia,Daniel Bocanegra,Atl. Nacional,Colombia
1845,2014,Colombia,Santiago Arias,PSV,Paises Bajos
1846,2014,Colombia,Bryan Angulo,Ludogorets,Bulgaria
1847,2014,Colombia,Pablo Armero,West Ham,Inglaterra
1848,2014,Colombia,Abel Aguilar,TFC,Francia
1849,2014,Colombia,Alexander Mejía,Atl. Nacional,Colombia
1850,2014,Colombia,Carlos Sánchez,Elche,España
1851,2014,Colombia,Fredy Guarín,Inter,Italia
1852,2014,Colombia,Aldo Ramirez,Morelia,Mexico
1853,2014,Colombia,Edwin Valencia,Fluminense,Brasil
1854,2014,Colombia,Victor Ibarbo,Cagliari,Italia
1855,2014,Colombia,Yimmi Chará,Tolima,Colombia
1856,2014,Colombia,Macnelly Torres,Al Shabab,Arabia Saudita
1857,2014,Colombia,Edwin Cardona,Atl. Nacional,Colombia
1858,2014,Colombia,James Rodríguez,Monaco,Francia
1859,2014,Colombia,J. F.  Quintero,FC Porto,Portugal
1860,2014,Colombia,Teófilo Gutiérrez,River Plate,Argentina
1861,2014,Colombia,Carlos Bacca,Sevilla FC,España
1862,2014,Colombia,Radamel Falcao,Man United,Inglaterra
1863,2014,Colombia,Adrián Ramos,Hertha,Alemania
1864,2014,Colombia,Carlos Carbonero,River Plate,Argentina
1865,2014,Colombia,Juan Cuadrado,Fiorentina,Italia
1866,2014,Colombia,Juan Camilo Zuñiga,Napoli,Italia
1867,2014,Colombia,Jackson Martínez,FC Porto,Portugal
1868,2015,Colombia,Cristian Bonilla,La Equidad,Colombia
1869,2015,Colombia,Camilo Vargas,Atl. Nacional,Colombia
1870,2015,Colombia,David Ospina,Arsenal,Inglaterra
1871,2015,Colombia,Pedro Franco,Besiktas,Turquia
1872,2015,Colombia,Francisco Meza,Santa Fe,Colombia
1873,2015,Colombia,Éder Balanta,River Plate,Argentina
1874,2015,Colombia,Carlos Valdez,Nacional,Uruguay
1875,2015,Colombia,Stefan Medina,Monterrey,Mexico
1876,2015,Colombia,Cristian Zapata,AC Milán,Italia
1877,2015,Colombia,Bernardo,Sporting,España
1878,2015,Colombia,Jeison Murillo,Granada CF,España
1879,2015,Colombia,Helibelton Palacios,Dep. Cali,Colombia
1880,2015,Colombia,Daniel Bocanegra,Atl. Nacional,Colombia
1881,2015,Colombia,Santiago Arias,PSV,Paises Bajos
1882,2015,Colombia,Darwin Andrade,Standard,Belgica
1883,2015,Colombia,Frank Fabra,Independiente,Colombia
1884,2015,Colombia,Pablo Armero,Flamengo,Brasil
1885,2015,Colombia,Johan Mojica,Valladolid,España
1886,2015,Colombia,Gustavo Cuellar,Junior,Colombia
1887,2015,Colombia,Kevin Balanta,Dep. Cali,Colombia
1888,2015,Colombia,Wilmar Barrios,Tolima,Colombia
1889,2015,Colombia,Daniel Torres,Independiente,Colombia
1890,2015,Colombia,Alexander Mejía,Monterrey,Mexico
1891,2015,Colombia,Abel Aguilar,TFC,Francia
1892,2015,Colombia,Carlos Sánchez,Aston Villa,Inglaterra
1893,2015,Colombia,Fredy Guarín,Inter,Italia
1894,2015,Colombia,Edwin Valencia,Santos,Brasil
1895,2015,Colombia,Victor Ibarbo,AS Roma,Italia
1896,2015,Colombia,Fabian Castillo,FC Dallas,Estados Unidos
1897,2015,Colombia,Macnelly Torres,Atl. Nacional,Colombia
1898,2015,Colombia,Felipe Pardo,Olympiakos,Grecia
1899,2015,Colombia,Edwin Cardona,Monterrey,Mexico
1900,2015,Colombia,James Rodríguez,Real Madrid,España
1901,2015,Colombia,J. F.  Quintero,FC Porto,Portugal
1902,2015,Colombia,Rafael Borré,Dep. Cali,Colombia
1903,2015,Colombia,Radamel Falcao,Man United,Inglaterra
1904,2015,Colombia,Teófilo Gutiérrez,River Plate,Argentina
1905,2015,Colombia,Adrián Ramos,Dortmund,Alemania
1906,2015,Colombia,Luis Muriel,Sampdoria,Italia
1907,2015,Colombia,Carlos Bacca,Sevilla FC,España
1908,2015,Colombia,Juan Cuadrado,Chelsea,Inglaterra
1909,2015,Colombia,Carlos Carbonero,Sampdoria,Italia
1910,2015,Colombia,Andrès Roa,Dep. Cali,Colombia
1911,2015,Colombia,Juan Camilo Zuñiga,Napoli,Italia
1912,2015,Colombia,Jackson Martínez,Atlético,España
1913,2015,Colombia,Andrés Renteria,Santos Laguna,Mexico
1914,2016,Colombia,Camilo Vargas,Argentinos,Argentina
1915,2016,Colombia,David Gonzalez,Independiente,Colombia
1916,2016,Colombia,Robinson Zapata,Santa Fe,Colombia
1917,2016,Colombia,Cristian Bonilla,Atl. Nacional,Colombia
1918,2016,Colombia,David Ospina,Arsenal,Inglaterra
1919,2016,Colombia,Éder Balanta,FC Basel,Suiza
1920,2016,Colombia,Oscar Murillo,Pachuca,Mexico
1921,2016,Colombia,William Tesillo,Santa Fe,Colombia
1922,2016,Colombia,Felipe Aguilar,Atl. Nacional,Colombia
1923,2016,Colombia,Yerry Mina,Palmeiras,Brasil
1924,2016,Colombia,Davinson Sánchez,Ajax,Paises Bajos
1925,2016,Colombia,Stefan Medina,Pachuca,Mexico
1926,2016,Colombia,Cristian Zapata,AC Milán,Italia
1927,2016,Colombia,Jeison Murillo,Inter,Italia
1928,2016,Colombia,Farid Díaz,Atl. Nacional,Colombia
1929,2016,Colombia,Daniel Bocanegra,Atl. Nacional,Colombia
1930,2016,Colombia,Santiago Arias,PSV,Paises Bajos
1931,2016,Colombia,Frank Fabra,Boca Juniors,Argentina
1932,2016,Colombia,Guillermo Celis,Junior,Colombia
1933,2016,Colombia,Gustavo Cuellar,Flamengo,Brasil
1934,2016,Colombia,Sebastián Pérez,Atl. Nacional,Colombia
1935,2016,Colombia,Daniel Torres,Independiente,Colombia
1936,2016,Colombia,Wilmar Barrios,Boca Juniors,Argentina
1937,2016,Colombia,Abel Aguilar,Belenenses,Portugal
1938,2016,Colombia,Carlos Sánchez,Aston Villa,Inglaterra
1939,2016,Colombia,Alexander Mejía,León,Mexico
1940,2016,Colombia,Luis Quiñonez,UNAM,Mexico
1941,2016,Colombia,Victor Ibarbo,Atl. Nacional,Colombia
1942,2016,Colombia,Macnelly Torres,Atl. Nacional,Colombia
1943,2016,Colombia,Edwin Cardona,Monterrey,Mexico
1944,2016,Colombia,James Rodríguez,Real Madrid,España
1945,2016,Colombia,Radamel Falcao,Monaco,Francia
1946,2016,Colombia,Luis Muriel,Sampdoria,Italia
1947,2016,Colombia,Carlos Bacca,AC Milán,Italia
1948,2016,Colombia,Adrián Ramos,Dortmund,Alemania
1949,2016,Colombia,Orlando Berrio,Atl. Nacional,Colombia
1950,2016,Colombia,Juan Cuadrado,Juventus,Italia
1951,2016,Colombia,Andrès Roa,Dep. Cali,Colombia
1952,2016,Colombia,Marlos Moreno,Atl. Nacional,Colombia
1953,2016,Colombia,Miguel Borja,Atl. Nacional,Colombia
1954,2016,Colombia,Dayro Moreno,Tijuana,Mexico
1955,2016,Colombia,Jonathan Copete,Santos,Brasil
1956,2016,Colombia,Roger Martinez,Racing Club,Argentina
1957,2017,Colombia,Camilo Vargas,Dep. Cali,Colombia
1958,2017,Colombia,David Gonzalez,Independiente,Colombia
1959,2017,Colombia,Robinson Zapata,Santa Fe,Colombia
1960,2017,Colombia,J. F.  Cuadrado,Once Caldas,Colombia
1961,2017,Colombia,Leandro Castellanos,Santa Fe,Colombia
1962,2017,Colombia,David Ospina,Arsenal,Inglaterra
1963,2017,Colombia,Felipe Aguilar,Atl. Nacional,Colombia
1964,2017,Colombia,William Tesillo,Santa Fe,Colombia
1965,2017,Colombia,Juan Quintero,Dep. Cali,Colombia
1966,2017,Colombia,Oscar Murillo,Pachuca,Mexico
1967,2017,Colombia,Éder Balanta,FC Basel,Suiza
1968,2017,Colombia,Yerry Mina,Palmeiras,Brasil
1969,2017,Colombia,Davinson Sánchez,Ajax,Paises Bajos
1970,2017,Colombia,Stefan Medina,Pachuca,Mexico
1971,2017,Colombia,Cristian Zapata,AC Milán,Italia
1972,2017,Colombia,Daniel Bocanegra,Atl. Nacional,Colombia
1973,2017,Colombia,Luis Orejuela,Dep. Cali,Colombia
1974,2017,Colombia,Farid Díaz,Atl. Nacional,Colombia
1975,2017,Colombia,Santiago Arias,PSV,Paises Bajos
1976,2017,Colombia,Pablo Armero,Bahia,Brasil
1977,2017,Colombia,Frank Fabra,Boca Juniors,Argentina
1978,2017,Colombia,Leyvin Balanta,Santa Fe,Colombia
1979,2017,Colombia,Guillermo Celis,Guimarães,Portugal
1980,2017,Colombia,Gustavo Cuellar,Flamengo,Brasil
1981,2017,Colombia,Wilmar Barrios,Boca Juniors,Argentina
1982,2017,Colombia,Daniel Torres,Alavés,España
1983,2017,Colombia,Abel Aguilar,Dep. Cali,Colombia
1984,2017,Colombia,Carlos Sánchez,Fiorentina,Italia
1985,2017,Colombia,Mateus Uribe,Atl. Nacional,Colombia
1986,2017,Colombia,Jefferson Lerma,Levante,España
1987,2017,Colombia,Giovanni Moreno,Sh. Shenhua,China
1988,2017,Colombia,Luis Quiñonez,Tigres UANL,Mexico
1989,2017,Colombia,Vladimir Hernandez,Santos,Brasil
1990,2017,Colombia,Santiago Montoya,Tolima,Colombia
1991,2017,Colombia,Yimmi Chará,Junior,Colombia
1992,2017,Colombia,Macnelly Torres,Atl. Nacional,Colombia
1993,2017,Colombia,Aviles Hurtado,Monterrey,Mexico
1994,2017,Colombia,Felipe Pardo,Olympiakos,Grecia
1995,2017,Colombia,Edwin Cardona,Monterrey,Mexico
1996,2017,Colombia,James Rodríguez,Real Madrid,España
1997,2017,Colombia,Duvan Zapata,Udinese,Italia
1998,2017,Colombia,Teófilo Gutiérrez,Junior,Colombia
1999,2017,Colombia,Luis Muriel,Sampdoria,Italia
2000,2017,Colombia,Carlos Bacca,AC Milán,Italia
2001,2017,Colombia,Radamel Falcao,Monaco,Francia
2002,2017,Colombia,Orlando Berrio,Atl. Nacional,Colombia
2003,2017,Colombia,Juan Cuadrado,Juventus,Italia
2004,2017,Colombia,José Izquierdo,FC Bruges,Belgica
2005,2017,Colombia,Miguel Borja,Palmeiras,Brasil
2006,2017,Colombia,Michael Rangel,Junior,Colombia
2007,2017,Colombia,Jonathan Copete,Santos,Brasil
2008,2018,Colombia,I. M.  Arboleda,Banfield,Argentina
2009,2018,Colombia,J. F.  Cuadrado,Once Caldas,Colombia
2010,2018,Colombia,Alvaro Montero,Tolima,Colombia
2011,2018,Colombia,Camilo Vargas,Dep. Cali,Colombia
2012,2018,Colombia,David Ospina,Arsenal,Inglaterra
2013,2018,Colombia,Jhon Lucumi,RC Genk,Belgica
2014,2018,Colombia,William Tesillo,Santa Fe,Colombia
2015,2018,Colombia,Oscar Murillo,Pachuca,Mexico
2016,2018,Colombia,Felipe Aguilar,Atl. Nacional,Colombia
2017,2018,Colombia,Juan Quintero,Sporting,España
2018,2018,Colombia,Yerry Mina,Barça,España
2019,2018,Colombia,Davinson Sánchez,Tottenham,Inglaterra
2020,2018,Colombia,Cristian Zapata,AC Milán,Italia
2021,2018,Colombia,Jeison Murillo,Valencia CF,España
2022,2018,Colombia,Bernardo,Girona,España
2023,2018,Colombia,Helibelton Palacios,Atl. Nacional,Colombia
2024,2018,Colombia,Juan Daniel Roa,Santa Fe,Colombia
2025,2018,Colombia,Farid Díaz,Olimpia,Paraguay
2026,2018,Colombia,Santiago Arias,PSV,Paises Bajos
2027,2018,Colombia,Deiver Machado,Atl. Nacional,Colombia
2028,2018,Colombia,Frank Fabra,Boca Juniors,Argentina
2029,2018,Colombia,Cristian Borja,Toluca,Mexico
2030,2018,Colombia,Johan Mojica,Girona,España
2031,2018,Colombia,Gustavo Cuellar,Flamengo,Brasil
2032,2018,Colombia,Didier Moreno,Depor,España
2033,2018,Colombia,Jorman Campuzano,Atl. Nacional,Colombia
2034,2018,Colombia,Wilmar Barrios,Boca Juniors,Argentina
2035,2018,Colombia,Abel Aguilar,Dep. Cali,Colombia
2036,2018,Colombia,Carlos Sánchez,Espanyol,España
2037,2018,Colombia,Mateus Uribe,América Mexico,Mexico
2038,2018,Colombia,Jefferson Lerma,Levante,España
2039,2018,Colombia,Giovanni Moreno,Sh. Shenhua,China
2040,2018,Colombia,Victor Cantillo,Junior,Colombia
2041,2018,Colombia,Yimmi Chará,Junior,Colombia
2042,2018,Colombia,Nicolas Benedetti,Dep. Cali,Colombia
2043,2018,Colombia,Edwin Cardona,Boca Juniors,Argentina
2044,2018,Colombia,J. F.  Quintero,River Plate,Argentina
2045,2018,Colombia,James Rodríguez,Bayern,Alemania
2046,2018,Colombia,Luis Muriel,Sevilla FC,España
2047,2018,Colombia,Carlos Bacca,Villarreal,España
2048,2018,Colombia,Radamel Falcao,Monaco,Francia
2049,2018,Colombia,Duvan Zapata,Sampdoria,Italia
2050,2018,Colombia,Sebastian Villa,Boca Juniors,Argentina
2051,2018,Colombia,Juan Cuadrado,Juventus,Italia
2052,2018,Colombia,José Izquierdo,Brighton,Inglaterra
2053,2018,Colombia,Luis Díaz,Junior,Colombia
2054,2018,Colombia,Miguel Borja,Palmeiras,Brasil
2055,2018,Colombia,Cucho Hernandez,Huesca,España
2056,2018,Colombia,Alfredo Morelos,Rangers,Escocia
2057,2019,Colombia,Alvaro Montero,Tolima,Colombia
2058,2019,Colombia,I. M.  Arboleda,Banfield,Argentina
2059,2019,Colombia,Aldair Quintana,Atl. Nacional,Colombia
2060,2019,Colombia,Camilo Vargas,Dep. Cali,Colombia
2061,2019,Colombia,Eder Chaux,Patriotas,Colombia
2062,2019,Colombia,David Ospina,Napoli,Italia
2063,2019,Colombia,William Tesillo,León,Mexico
2064,2019,Colombia,Jhon Lucumi,RC Genk,Belgica
2065,2019,Colombia,Oscar Murillo,Pachuca,Mexico
2066,2019,Colombia,Yerry Mina,Everton,Inglaterra
2067,2019,Colombia,Davinson Sánchez,Tottenham,Inglaterra
2068,2019,Colombia,Stefan Medina,Monterrey,Mexico
2069,2019,Colombia,Cristian Zapata,AC Milán,Italia
2070,2019,Colombia,Jeison Murillo,Barça,España
2071,2019,Colombia,Helibelton Palacios,Atl. Nacional,Colombia
2072,2019,Colombia,Luis Orejuela,Cruzeiro,Brasil
2073,2019,Colombia,Santiago Arias,Atlético,España
2074,2019,Colombia,Deiver Machado,Atl. Nacional,Colombia
2075,2019,Colombia,Cristian Borja,Sporting,España
2076,2019,Colombia,Johan Mojica,Girona,España
2077,2019,Colombia,Gustavo Cuellar,Flamengo,Brasil
2078,2019,Colombia,Jorman Campuzano,Boca Juniors,Argentina
2079,2019,Colombia,Wilmar Barrios,Zenit,Rusia
2080,2019,Colombia,Mateus Uribe,América Mexico,Mexico
2081,2019,Colombia,Jefferson Lerma,Bournemouth,Inglaterra
2082,2019,Colombia,Yairo Moreno,León,Mexico
2083,2019,Colombia,Yimmi Chará,Atlético MG,Brasil
2084,2019,Colombia,Edwin Cardona,Pachuca,Mexico
2085,2019,Colombia,James Rodríguez,Bayern,Alemania
2086,2019,Colombia,Luis Muriel,Sevilla FC,España
2087,2019,Colombia,Rafael Borré,River Plate,Argentina
2088,2019,Colombia,Radamel Falcao,Monaco,Francia
2089,2019,Colombia,Duvan Zapata,Atalanta,Italia
2090,2019,Colombia,Luis Sinisterra,Feyenoord,Paises Bajos
2091,2019,Colombia,Orlando Berrio,Flamengo,Brasil
2092,2019,Colombia,Sebastian Villa,Boca Juniors,Argentina
2093,2019,Colombia,Juan Cuadrado,Juventus,Italia
2094,2019,Colombia,Luis Díaz,Junior,Colombia
2095,2019,Colombia,Andrès Ibargüen,América Mexico,Mexico
2096,2019,Colombia,Roger Martinez,América Mexico,Mexico
2097,2019,Colombia,Alfredo Morelos,Rangers,Escocia
2098,1994,Argentina,Luis Islas,Indep.,Argentina
2099,1994,Argentina,Carlos Bossio,Estudiantes LP,Argentina
2100,1994,Argentina,Sergio Goycoechea,River Plate,Argentina
2101,1994,Argentina,R. N.  Sensini,Parma,Italia
2102,1994,Argentina,Roberto Ayala,River Plate,Argentina
2103,1994,Argentina,Fernando Cáceres,Saragosse,España
2104,1994,Argentina,Óscar Ruggeri,San Lorenzo,Argentina
2105,1994,Argentina,Jorge Borelli,Racing Club,Argentina
2106,1994,Argentina,José Antonio Chamot,Foggia,Italia
2107,1994,Argentina,Néstor Fabbri,Boca Juniors,Argentina
2108,1994,Argentina,Darío Franco,Saragosse,España
2109,1994,Argentina,S. F.  Vazquez,Uni. Catolica,Chile
2110,1994,Argentina,Nelson Vivas,Boca Juniors,Argentina
2111,1994,Argentina,H. E.  Díaz,River Plate,Argentina
2112,1994,Argentina,Javier Zanetti,Banfield,Argentina
2113,1994,Argentina,Rodolfo Arruabarrena,Boca Juniors,Argentina
2114,1994,Argentina,Fernando Redondo,Tenerife,España
2115,1994,Argentina,Marcelo Espina,Platense,Argentina
2116,1994,Argentina,Ariel Ortega,River Plate,Argentina
2117,1994,Argentina,Christian Bassedas,Velez Sarsfield,Argentina
2118,1994,Argentina,José Basualdo,Velez Sarsfield,Argentina
2119,1994,Argentina,Diego Simeone,Sevilla FC,España
2120,1994,Argentina,Diego Cagna,Indep.,Argentina
2121,1994,Argentina,Hugo Pérez,Indep.,Argentina
2122,1994,Argentina,Juan José Borrelli,Pana,Grecia
2123,1994,Argentina,R. C.  Monserrat,San Lorenzo,Argentina
2124,1994,Argentina,Alejandro Mancuso,Boca Juniors,Argentina
2125,1994,Argentina,M. A.  Escudero,Newell's,Argentina
2126,1994,Argentina,Alberto Carranza,Boca Juniors,Argentina
2127,1994,Argentina,Gustavo López,Indep.,Argentina
2128,1994,Argentina,Leonardo Rodríguez,Dortmund,Alemania
2129,1994,Argentina,Diego Maradona,Newell's,Argentina
2130,1994,Argentina,Marcelo Gallardo,River Plate,Argentina
2131,1994,Argentina,Gabriel Batistuta,Fiorentina,Italia
2132,1994,Argentina,Claudio Caniggia,libre,Libre
2133,1994,Argentina,Abel Balbo,AS Roma,Italia
2134,1994,Argentina,Claudio García,Racing Club,Argentina
2135,1994,Argentina,Turu Flores,Velez Sarsfield,Argentina
2136,1994,Argentina,Sebastián Rambert,Indep.,Argentina
2137,1994,Argentina,R. I.  Medina Bello,Yokohama FM,Japón
2138,1995,Argentina,Hernán Cristante,Toluca,Mexico
2139,1995,Argentina,Oscar Passet,San Lorenzo,Argentina
2140,1995,Argentina,Carlos Bossio,Estudiantes LP,Argentina
2141,1995,Argentina,Germán Burgos,River Plate,Argentina
2142,1995,Argentina,R. N.  Sensini,Parma,Italia
2143,1995,Argentina,Fernando Cáceres,Saragosse,España
2144,1995,Argentina,Pablo Rotchen,Indep.,Argentina
2145,1995,Argentina,Néstor Fabbri,Boca Juniors,Argentina
2146,1995,Argentina,José Antonio Chamot,Lazio,Italia
2147,1995,Argentina,Roberto Ayala,Napoli,Italia
2148,1995,Argentina,Roberto Trotta,Velez Sarsfield,Argentina
2149,1995,Argentina,Gabriel Schürrer,Lanus,Argentina
2150,1995,Argentina,H. E.  Díaz,River Plate,Argentina
2151,1995,Argentina,Nelson Vivas,Boca Juniors,Argentina
2152,1995,Argentina,Fabian Basualdo,Newell's,Argentina
2153,1995,Argentina,Javier Zanetti,Inter,Italia
2154,1995,Argentina,Rodolfo Arruabarrena,Boca Juniors,Argentina
2155,1995,Argentina,Juan Pablo Sorín,Argentinos,Argentina
2156,1995,Argentina,Ricardo Altamirano,River Plate,Argentina
2157,1995,Argentina,Juan Ramírez,Indep.,Argentina
2158,1995,Argentina,Leonardo Astrada,River Plate,Argentina
2159,1995,Argentina,Fernando Galetto,San Lorenzo,Argentina
2160,1995,Argentina,Christian Bassedas,Velez Sarsfield,Argentina
2161,1995,Argentina,Ariel Ortega,River Plate,Argentina
2162,1995,Argentina,Carlos Netto,San Lorenzo,Argentina
2163,1995,Argentina,Marcelo Espina,Colo Colo,Chile
2164,1995,Argentina,Marcelo Gomez,Velez Sarsfield,Argentina
2165,1995,Argentina,Diego Simeone,Atlético,España
2166,1995,Argentina,Hugo Castillo,Dep. Español,Argentina
2167,1995,Argentina,M. A.  Escudero,Newell's,Argentina
2168,1995,Argentina,Hugo Pérez,Sporting,España
2169,1995,Argentina,Juan José Borrelli,Pana,Grecia
2170,1995,Argentina,Jorge Jímenez,Banfield,Argentina
2171,1995,Argentina,R. C.  Monserrat,San Lorenzo,Argentina
2172,1995,Argentina,Kily González,Boca Juniors,Argentina
2173,1995,Argentina,Gustavo López,Indep.,Argentina
2174,1995,Argentina,Rodolfo Cardoso,Werder,Alemania
2175,1995,Argentina,Sergio Berti,River Plate,Argentina
2176,1995,Argentina,Daniel Garnero,Indep.,Argentina
2177,1995,Argentina,Marcelo Gallardo,River Plate,Argentina
2178,1995,Argentina,Hernán Crespo,River Plate,Argentina
2179,1995,Argentina,J. E.  Esnáider,Real Madrid,España
2180,1995,Argentina,Alberto Acosta,Uni. Catolica,Chile
2181,1995,Argentina,Gabriel Batistuta,Fiorentina,Italia
2182,1995,Argentina,C. D.  Biaggio,San Lorenzo,Argentina
2183,1995,Argentina,Abel Balbo,AS Roma,Italia
2184,1995,Argentina,Sebastián Rambert,Indep.,Argentina
2185,1995,Argentina,G.  Barros Schelotto,Gim. La Plata,Argentina
2186,1995,Argentina,Claudio López,Racing Club,Argentina
2187,1995,Argentina,Marcelo Delgado,Racing Club,Argentina
2188,1995,Argentina,Omar Asad,Velez Sarsfield,Argentina
2189,1996,Argentina,Oscar Passet,San Lorenzo,Argentina
2190,1996,Argentina,Pablo Cavallero,Velez Sarsfield,Argentina
2191,1996,Argentina,Carlos Bossio,Estudiantes LP,Argentina
2192,1996,Argentina,Roberto Bonano,River Plate,Argentina
2193,1996,Argentina,Germán Burgos,River Plate,Argentina
2194,1996,Argentina,R. N.  Sensini,Parma,Italia
2195,1996,Argentina,Néstor Fabbri,Boca Juniors,Argentina
2196,1996,Argentina,Fernando Cáceres,Saragosse,España
2197,1996,Argentina,José Antonio Chamot,Lazio,Italia
2198,1996,Argentina,Roberto Ayala,Napoli,Italia
2199,1996,Argentina,Pablo Paz,Tenerife,España
2200,1996,Argentina,Eduardo Berizzo,River Plate,Argentina
2201,1996,Argentina,V. H.  Sotomayor,Velez Sarsfield,Argentina
2202,1996,Argentina,H. E.  Díaz,River Plate,Argentina
2203,1996,Argentina,Nelson Vivas,Boca Juniors,Argentina
2204,1996,Argentina,Javier Zanetti,Inter,Italia
2205,1996,Argentina,Mauricio Pineda,Huracán,Argentina
2206,1996,Argentina,Juan Pablo Sorín,River Plate,Argentina
2207,1996,Argentina,Leonardo Astrada,River Plate,Argentina
2208,1996,Argentina,Matías Almeyda,River Plate,Argentina
2209,1996,Argentina,Ariel Ortega,River Plate,Argentina
2210,1996,Argentina,Christian Bassedas,Velez Sarsfield,Argentina
2211,1996,Argentina,J. S.  Verón,Sampdoria,Italia
2212,1996,Argentina,Diego Simeone,Atlético,España
2213,1996,Argentina,José Albornoz,Indep.,Argentina
2214,1996,Argentina,Roberto Molina,Indep.,Argentina
2215,1996,Argentina,Gustavo López,Saragosse,España
2216,1996,Argentina,Patricio Camps,Velez Sarsfield,Argentina
2217,1996,Argentina,Hugo Morales,Lanus,Argentina
2218,1996,Argentina,Claudio Caniggia,Boca Juniors,Argentina
2219,1996,Argentina,Abel Balbo,AS Roma,Italia
2220,1996,Argentina,Gabriel Batistuta,Fiorentina,Italia
2221,1996,Argentina,J. E.  Esnáider,Atlético,España
2222,1996,Argentina,Hernán Crespo,River Plate,Argentina
2223,1996,Argentina,Marcelo Delgado,Racing Club,Argentina
2224,1996,Argentina,G.  Barros Schelotto,Gim. La Plata,Argentina
2225,1996,Argentina,Claudio López,Racing Club,Argentina
2226,1996,Argentina,Guillermo Morigi,Velez Sarsfield,Argentina
2227,1997,Argentina,Nacho González,Racing Club,Argentina
2228,1997,Argentina,Marcelo Ojeda,Tenerife,España
2229,1997,Argentina,Carlos Roa,Lanus,Argentina
2230,1997,Argentina,R. N.  Sensini,Parma,Italia
2231,1997,Argentina,Fernando Cáceres,Valencia CF,España
2232,1997,Argentina,Roberto Ayala,Napoli,Italia
2233,1997,Argentina,José Antonio Chamot,Lazio,Italia
2234,1997,Argentina,Pablo Rotchen,Indep.,Argentina
2235,1997,Argentina,Raul Cardozo,Velez Sarsfield,Argentina
2236,1997,Argentina,Pablo Paz,Tenerife,España
2237,1997,Argentina,Eduardo Berizzo,River Plate,Argentina
2238,1997,Argentina,Mauricio Pellegrino,Velez Sarsfield,Argentina
2239,1997,Argentina,J. D.  Martínez,Indep.,Argentina
2240,1997,Argentina,H. E.  Díaz,River Plate,Argentina
2241,1997,Argentina,Nelson Vivas,Boca Juniors,Argentina
2242,1997,Argentina,Javier Zanetti,Inter,Italia
2243,1997,Argentina,Mauricio Pineda,Boca Juniors,Argentina
2244,1997,Argentina,Juan Pablo Sorín,River Plate,Argentina
2245,1997,Argentina,Gustavo Zapata,San Lorenzo,Argentina
2246,1997,Argentina,Matías Almeyda,Sevilla FC,España
2247,1997,Argentina,Leonardo Astrada,River Plate,Argentina
2248,1997,Argentina,J. S.  Verón,Sampdoria,Italia
2249,1997,Argentina,Christian Bassedas,Velez Sarsfield,Argentina
2250,1997,Argentina,Claudio Husaín,Velez Sarsfield,Argentina
2251,1997,Argentina,Ariel Ortega,River Plate,Argentina
2252,1997,Argentina,Diego Simeone,Atlético,España
2253,1997,Argentina,Diego Cagna,Boca Juniors,Argentina
2254,1997,Argentina,Juan José Borrelli,Oviedo,España
2255,1997,Argentina,Nestor Gorosito,San Lorenzo,Argentina
2256,1997,Argentina,Gustavo López,Saragosse,España
2257,1997,Argentina,Sergio Berti,River Plate,Argentina
2258,1997,Argentina,Rodolfo Cardoso,HSV,Alemania
2259,1997,Argentina,Juan Román Riquelme,Boca Juniors,Argentina
2260,1997,Argentina,Hugo Morales,Lanus,Argentina
2261,1997,Argentina,Marcelo Gallardo,River Plate,Argentina
2262,1997,Argentina,J. E.  Esnáider,Espanyol,España
2263,1997,Argentina,Hernán Crespo,Parma,Italia
2264,1997,Argentina,Gabriel Batistuta,Fiorentina,Italia
2265,1997,Argentina,Julio Cruz,River Plate,Argentina
2266,1997,Argentina,Martín Posse,Velez Sarsfield,Argentina
2267,1997,Argentina,Claudio López,Valencia CF,España
2268,1997,Argentina,José Luis Calderón,Indep.,Argentina
2269,1997,Argentina,Marcelo Delgado,Racing Club,Argentina
2270,1998,Argentina,Pablo Cavallero,Velez Sarsfield,Argentina
2271,1998,Argentina,Carlos Roa,Real Mallorca,España
2272,1998,Argentina,Germán Burgos,River Plate,Argentina
2273,1998,Argentina,Roberto Ayala,Napoli,Italia
2274,1998,Argentina,R. N.  Sensini,Parma,Italia
2275,1998,Argentina,José Antonio Chamot,Atlético,España
2276,1998,Argentina,Pablo Paz,Tenerife,España
